validation,seed,prediction_window,feature_group,model,n_train,n_test,test_at_risk_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
repeated_stratified_student_group_train_test,43,day_56,demographic_vle_assessment,Linear SVM,26075,6518,0.5279226756673826,0.8005523166615526,0.8713146028442594,0.7300203429235688,0.7944339025932954,0.8818329163973748,0.9081974893327296,0.8047241786116056,2706,371,929,2512
repeated_stratified_student_group_train_test,43,day_56,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.807149432341209,0.8587385019710907,0.7596628886951468,0.8061680801850424,0.8902125783094887,0.9173770813359005,0.8099581911789027,2647,430,827,2614
repeated_stratified_student_group_train_test,43,day_56,demographic_vle_assessment,LightGBM,26075,6518,0.5279226756673826,0.8060754832770789,0.8649011062688569,0.7497820401046208,0.8032378580323786,0.8891664369245171,0.9164584263591583,0.8094051571988817,2674,403,861,2580
repeated_stratified_student_group_train_test,43,day_56,demographic_vle_assessment,CatBoost,26075,6518,0.5279226756673826,0.8039275851488187,0.8679823069071113,0.7413542574832898,0.7996865203761756,0.8893388497894353,0.9164947967247585,0.8076287049522396,2689,388,890,2551
repeated_stratified_student_group_train_test,44,day_56,demographic_vle_assessment,Logistic Regression,26074,6519,0.5279950912716674,0.8024236846142047,0.8626262626262626,0.7443346891342243,0.7991266375545851,0.8776161987583082,0.9050975204368407,0.8058690020256757,2669,408,880,2562
repeated_stratified_student_group_train_test,44,day_56,demographic_vle_assessment,Decision Tree,26074,6519,0.5279950912716674,0.7863169197729714,0.8418418418418419,0.7330040674026729,0.7836620593259823,0.8665566553747255,0.8961710433070366,0.789478959278197,2603,474,919,2523
repeated_stratified_student_group_train_test,44,day_56,demographic_vle_assessment,Random Forest,26074,6519,0.5279950912716674,0.8010431047706703,0.8612327382957224,0.7428820453224869,0.7976914677897364,0.8831989397824612,0.9126483010685744,0.8044926963694008,2665,412,885,2557
repeated_stratified_student_group_train_test,44,day_56,demographic_vle_assessment,Linear SVM,26074,6519,0.5279950912716674,0.7988955361251726,0.8675405312176613,0.7306798373038931,0.7932502759817064,0.8780762105003157,0.9047985607200795,0.8029414786129475,2693,384,927,2515
repeated_stratified_student_group_train_test,44,day_56,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.8070256174259856,0.8589743589743589,0.7591516560139454,0.8059839605181986,0.8880797663382063,0.9154304954479768,0.8098650707759034,2648,429,829,2613
repeated_stratified_student_group_train_test,44,day_56,demographic_vle_assessment,LightGBM,26074,6519,0.5279950912716674,0.8039576622181316,0.8628437290409121,0.7475305055200465,0.8010585305105853,0.8870085772550631,0.9146054948398468,0.8073044142809853,2668,409,869,2573
repeated_stratified_student_group_train_test,44,day_56,demographic_vle_assessment,CatBoost,26074,6519,0.5279950912716674,0.8044178554993097,0.8689138576779026,0.7414294015107495,0.8001254115065057,0.8868449010738706,0.9147261442745146,0.8081537647787742,2692,385,890,2552
repeated_stratified_student_group_train_test,45,day_56,demographic_vle_assessment,Logistic Regression,26075,6518,0.5279226756673826,0.8068425897514575,0.8658618376928237,0.7503632664922988,0.8039856764751674,0.8848871411170256,0.9128122285951045,0.8101832582055254,2677,400,859,2582
repeated_stratified_student_group_train_test,45,day_56,demographic_vle_assessment,Decision Tree,26075,6518,0.5279226756673826,0.7908867750843818,0.8342985842985843,0.7535600116245278,0.7918766223850969,0.873464493669553,0.9034887291719511,0.7930945979474605,2562,515,848,2593
repeated_stratified_student_group_train_test,45,day_56,demographic_vle_assessment,Random Forest,26075,6518,0.5279226756673826,0.8056152193924516,0.8655010087424344,0.7480383609415867,0.802494154325799,0.8886132140506425,0.9171675299312888,0.8090208054301693,2677,400,867,2574
repeated_stratified_student_group_train_test,45,day_56,demographic_vle_assessment,Linear SVM,26075,6518,0.5279226756673826,0.8057686406873275,0.8759073625993778,0.7364138331880268,0.8001263024944743,0.8852371614278374,0.9122732939548118,0.8098708749950534,2718,359,907,2534
repeated_stratified_student_group_train_test,45,day_56,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.8142068119054925,0.8639033942558747,0.7692531240918338,0.8138355111452729,0.8931577640521207,0.9202842745597062,0.8168657560660664,2660,417,794,2647
repeated_stratified_student_group_train_test,45,day_56,demographic_vle_assessment,LightGBM,26075,6518,0.5279226756673826,0.8119054924823565,0.867573846664454,0.7596628886951468,0.810040285094515,0.892676793077267,0.9199048004981516,0.814995565244551,2678,399,827,2614
repeated_stratified_student_group_train_test,45,day_56,demographic_vle_assessment,CatBoost,26075,6518,0.5279226756673826,0.8092973304694692,0.8715348208248817,0.7492008137169428,0.8057508985779028,0.8918032062276038,0.9187660058125413,0.8128519505698786,2697,380,863,2578
repeated_stratified_student_group_train_test,46,day_56,demographic_vle_assessment,Logistic Regression,26075,6518,0.5279226756673826,0.8066891684565818,0.8672953856517346,0.7483289741354258,0.8034321372854915,0.8836823761184522,0.9103859689024822,0.8101410876526982,2683,394,866,2575
