validation,seed,prediction_window,feature_group,model,n_train,n_test,test_at_risk_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
repeated_stratified_student_group_train_test,42,day_14,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.7116122104617273,0.7465277777777778,0.6871005229517723,0.7155824508320726,0.7927083417917458,0.8254951083251584,0.7130660235818335,2274,803,1077,2365
repeated_stratified_student_group_train_test,43,day_14,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7068119054924824,0.746615087040619,0.6730601569311246,0.707932141219624,0.786844478117922,0.8208207988377417,0.7088082715107362,2291,786,1125,2316
repeated_stratified_student_group_train_test,44,day_14,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.705629697806412,0.7368584758942457,0.6882626380011622,0.711732011416554,0.7807370838390284,0.8171037212551088,0.7066597557896613,2231,846,1073,2369
repeated_stratified_student_group_train_test,45,day_14,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7060447990181037,0.7385048482952769,0.6861377506538797,0.7113588430250075,0.7856426409740803,0.8186640069682942,0.7072222714920358,2241,836,1080,2361
repeated_stratified_student_group_train_test,46,day_14,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7094200675053698,0.744391785150079,0.6846846846846847,0.7132909476233726,0.7866229056275917,0.8193458536699896,0.7108831288226803,2268,809,1085,2356
repeated_stratified_student_group_train_test,47,day_14,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7157103405952746,0.7495285983658077,0.6931124673060157,0.7202174241280387,0.7934432960012965,0.8273619875950212,0.7170469713845646,2280,797,1056,2385
repeated_stratified_student_group_train_test,48,day_14,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.7123791992636908,0.7512023084321898,0.6807088901801278,0.7142203932327389,0.7858276160760129,0.8204839951067723,0.7142575975112534,2301,776,1099,2343
repeated_stratified_student_group_train_test,49,day_14,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7147898128260203,0.7471875,0.6948561464690497,0.7200722782713447,0.789700883749339,0.8259485063341493,0.7159688597148628,2268,809,1050,2391
repeated_stratified_student_group_train_test,50,day_14,demographic_vle_assessment,XGBoost,26073,6520,0.5280674846625767,0.7144171779141104,0.746031746031746,0.6961951786232936,0.7202524038461539,0.7931396980832087,0.826378677859132,0.7155009042287739,2261,816,1046,2397
repeated_stratified_student_group_train_test,51,day_14,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7022092666462105,0.7460629921259843,0.6608544027898866,0.7008784096162737,0.77804108006861,0.8079267057344675,0.7046553456913359,2303,774,1167,2274
repeated_stratified_student_group_train_test,42,day_28,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.7636140512348519,0.81630615640599,0.7126670540383498,0.7609740964789825,0.8503195721966335,0.8832185448773401,0.7666357694631138,2525,552,989,2453
repeated_stratified_student_group_train_test,43,day_28,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7621969929426204,0.8154821488154822,0.7102586457425167,0.759242000621311,0.8454480406371125,0.8805940660629842,0.7652690693775956,2524,553,997,2444
repeated_stratified_student_group_train_test,44,day_28,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.759012118423071,0.8086440118772682,0.7120859965136549,0.7572995519851692,0.8410916724467129,0.8768018621015465,0.7617953544479227,2497,580,991,2451
repeated_stratified_student_group_train_test,45,day_28,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7539122430193311,0.8034357449620085,0.7067712874164487,0.7520098948670377,0.8424595982019949,0.8772156746854198,0.7567005608352961,2482,595,1009,2432
repeated_stratified_student_group_train_test,46,day_28,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7641914697760049,0.8123359580052494,0.7195582679453647,0.7631376175065495,0.844537997273695,0.8785288895537393,0.76683145766459,2505,572,965,2476
repeated_stratified_student_group_train_test,47,day_28,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7628106781221233,0.8101472995090017,0.7192676547515258,0.7620073891625616,0.8484637310106191,0.8815376861183348,0.7653861835668581,2497,580,966,2475
repeated_stratified_student_group_train_test,48,day_28,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.7619266758705323,0.8166890080428955,0.7080185938407902,0.7584811702458761,0.844517353074308,0.8780027630977151,0.7651240190523418,2530,547,1005,2437
repeated_stratified_student_group_train_test,49,day_28,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7583614605707272,0.809555408095554,0.7090961929671608,0.756003098373354,0.8455586852118875,0.8780044987714378,0.7612754283002849,2503,574,1001,2440
repeated_stratified_student_group_train_test,50,day_28,demographic_vle_assessment,XGBoost,26073,6520,0.5280674846625767,0.7588957055214723,0.8090518665345227,0.7112982863781586,0.757032457496136,0.8460055780046103,0.8802709814814536,0.7617264912553776,2499,578,994,2449
